,Env,SampleID
60,root:baby_fourthmonth:vaginal_delivery,ERR525769
61,root:baby_birth:vaginal_delivery,ERR525770
62,root:mother,ERR525771
63,root:baby_fourthmonth:vaginal_delivery,ERR525773
64,root:baby_birth:vaginal_delivery,ERR525774
65,root:mother,ERR525775
66,root:baby_fourthmonth:vaginal_delivery,ERR525777
67,root:baby_birth:vaginal_delivery,ERR525778
68,root:mother,ERR525779
69,root:baby_fourthmonth:vaginal_delivery,ERR525781
70,root:baby_birth:vaginal_delivery,ERR525782
71,root:mother,ERR525783
72,root:baby_fourthmonth:vaginal_delivery,ERR525785
73,root:baby_birth:vaginal_delivery,ERR525786
74,root:mother,ERR525787
75,root:baby_fourthmonth:vaginal_delivery,ERR525789
76,root:baby_birth:vaginal_delivery,ERR525790
77,root:mother,ERR525791
78,root:baby_fourthmonth:vaginal_delivery,ERR525793
79,root:baby_birth:vaginal_delivery,ERR525794
80,root:mother,ERR525795
81,root:baby_fourthmonth:vaginal_delivery,ERR525797
82,root:baby_birth:vaginal_delivery,ERR525798
83,root:mother,ERR525799
84,root:baby_fourthmonth:vaginal_delivery,ERR525802
85,root:baby_birth:vaginal_delivery,ERR525803
86,root:mother,ERR525804
87,root:baby_fourthmonth:cesarean_section,ERR525805
88,root:baby_fourthmonth:vaginal_delivery,ERR525807
89,root:baby_birth:vaginal_delivery,ERR525808
90,root:mother,ERR525809
91,root:baby_fourthmonth:vaginal_delivery,ERR525811
92,root:baby_birth:vaginal_delivery,ERR525812
93,root:mother,ERR525813
94,root:baby_birth:cesarean_section,ERR525814
95,root:mother,ERR525815
96,root:baby_fourthmonth:vaginal_delivery,ERR525817
97,root:baby_birth:vaginal_delivery,ERR525818
98,root:mother,ERR525819
99,root:baby_fourthmonth:vaginal_delivery,ERR525821
100,root:baby_birth:vaginal_delivery,ERR525822
101,root:mother,ERR525823
102,root:baby_fourthmonth:vaginal_delivery,ERR525825
103,root:baby_birth:vaginal_delivery,ERR525826
104,root:mother,ERR525827
105,root:baby_fourthmonth:vaginal_delivery,ERR525829
106,root:baby_birth:vaginal_delivery,ERR525830
107,root:mother,ERR525831
108,root:baby_fourthmonth:vaginal_delivery,ERR525833
109,root:baby_birth:vaginal_delivery,ERR525834
110,root:mother,ERR525835
111,root:baby_fourthmonth:vaginal_delivery,ERR525837
112,root:baby_birth:vaginal_delivery,ERR525838
113,root:mother,ERR525839
114,root:baby_fourthmonth:vaginal_delivery,ERR525845
115,root:baby_birth:vaginal_delivery,ERR525846
116,root:mother,ERR525847
117,root:baby_fourthmonth:vaginal_delivery,ERR525849
118,root:baby_birth:vaginal_delivery,ERR525850
119,root:mother,ERR525851
120,root:baby_fourthmonth:vaginal_delivery,ERR525853
121,root:baby_birth:vaginal_delivery,ERR525854
122,root:mother,ERR525855
123,root:baby_fourthmonth:vaginal_delivery,ERR525857
124,root:baby_birth:vaginal_delivery,ERR525858
125,root:mother,ERR525859
126,root:baby_fourthmonth:vaginal_delivery,ERR525861
127,root:baby_birth:vaginal_delivery,ERR525862
128,root:mother,ERR525863
129,root:baby_fourthmonth:vaginal_delivery,ERR525865
130,root:baby_birth:vaginal_delivery,ERR525866
131,root:mother,ERR525867
132,root:baby_fourthmonth:vaginal_delivery,ERR525869
133,root:baby_birth:vaginal_delivery,ERR525870
134,root:mother,ERR525871
135,root:baby_fourthmonth:vaginal_delivery,ERR525873
136,root:baby_birth:vaginal_delivery,ERR525874
137,root:mother,ERR525875
138,root:baby_fourthmonth:vaginal_delivery,ERR525877
139,root:baby_birth:vaginal_delivery,ERR525878
140,root:mother,ERR525879
141,root:baby_fourthmonth:vaginal_delivery,ERR525882
142,root:baby_birth:vaginal_delivery,ERR525883
143,root:mother,ERR525884
144,root:baby_fourthmonth:vaginal_delivery,ERR525885
145,root:baby_fourthmonth:vaginal_delivery,ERR525887
146,root:baby_birth:vaginal_delivery,ERR525888
147,root:mother,ERR525889
148,root:baby_fourthmonth:vaginal_delivery,ERR525891
149,root:baby_birth:vaginal_delivery,ERR525892
150,root:mother,ERR525893
151,root:baby_birth:vaginal_delivery,ERR525894
152,root:mother,ERR525895
153,root:baby_fourthmonth:vaginal_delivery,ERR525897
154,root:baby_fourthmonth:vaginal_delivery,ERR525899
155,root:baby_birth:vaginal_delivery,ERR525900
156,root:mother,ERR525901
157,root:baby_birth:vaginal_delivery,ERR525902
158,root:mother,ERR525903
159,root:baby_fourthmonth:vaginal_delivery,ERR525905
160,root:baby_birth:vaginal_delivery,ERR525906
161,root:mother,ERR525907
162,root:baby_fourthmonth:vaginal_delivery,ERR525909
163,root:baby_birth:vaginal_delivery,ERR525910
164,root:mother,ERR525911
165,root:baby_fourthmonth:vaginal_delivery,ERR525913
166,root:baby_birth:vaginal_delivery,ERR525914
167,root:mother,ERR525915
168,root:baby_fourthmonth:cesarean_section,ERR525917
169,root:baby_birth:cesarean_section,ERR525918
170,root:mother,ERR525919
171,root:baby_fourthmonth:cesarean_section,ERR525921
172,root:baby_birth:cesarean_section,ERR525922
173,root:mother,ERR525923
174,root:baby_fourthmonth:vaginal_delivery,ERR525926
175,root:baby_birth:vaginal_delivery,ERR525927
176,root:mother,ERR525928
177,root:baby_fourthmonth:vaginal_delivery,ERR525929
178,root:baby_birth:vaginal_delivery,ERR525930
179,root:mother,ERR525931
180,root:baby_fourthmonth:vaginal_delivery,ERR525933
181,root:baby_birth:vaginal_delivery,ERR525934
182,root:mother,ERR525935
183,root:baby_fourthmonth:cesarean_section,ERR525937
184,root:baby_birth:cesarean_section,ERR525938
185,root:mother,ERR525939
186,root:baby_fourthmonth:vaginal_delivery,ERR525941
187,root:baby_birth:vaginal_delivery,ERR525942
188,root:mother,ERR525943
189,root:baby_fourthmonth:cesarean_section,ERR525946
190,root:baby_birth:cesarean_section,ERR525947
191,root:mother,ERR525948
192,root:baby_fourthmonth:vaginal_delivery,ERR525949
193,root:baby_fourthmonth:vaginal_delivery,ERR525951
194,root:baby_birth:vaginal_delivery,ERR525952
195,root:mother,ERR525953
196,root:baby_birth:vaginal_delivery,ERR525954
197,root:mother,ERR525955
198,root:baby_fourthmonth:cesarean_section,ERR525957
199,root:baby_birth:cesarean_section,ERR525958
200,root:mother,ERR525959
201,root:baby_fourthmonth:cesarean_section,ERR525961
202,root:baby_birth:cesarean_section,ERR525962
203,root:mother,ERR525963
204,root:baby_fourthmonth:vaginal_delivery,ERR525965
205,root:baby_birth:vaginal_delivery,ERR525966
206,root:mother,ERR525967
207,root:baby_fourthmonth:cesarean_section,ERR525969
208,root:baby_birth:cesarean_section,ERR525970
209,root:mother,ERR525971
210,root:baby_fourthmonth:vaginal_delivery,ERR525973
211,root:baby_birth:vaginal_delivery,ERR525974
212,root:mother,ERR525975
213,root:baby_fourthmonth:vaginal_delivery,ERR525981
214,root:baby_birth:vaginal_delivery,ERR525982
215,root:mother,ERR525983
216,root:baby_fourthmonth:vaginal_delivery,ERR525985
217,root:baby_birth:vaginal_delivery,ERR525986
218,root:mother,ERR525987
219,root:baby_fourthmonth:vaginal_delivery,ERR525989
220,root:baby_birth:vaginal_delivery,ERR525990
221,root:mother,ERR525991
222,root:baby_fourthmonth:cesarean_section,ERR525993
223,root:baby_birth:cesarean_section,ERR525994
224,root:mother,ERR525995
225,root:baby_fourthmonth:vaginal_delivery,ERR525997
226,root:baby_birth:vaginal_delivery,ERR525998
227,root:mother,ERR525999
228,root:baby_fourthmonth:cesarean_section,ERR526001
229,root:baby_birth:cesarean_section,ERR526002
230,root:mother,ERR526003
231,root:baby_fourthmonth:vaginal_delivery,ERR526005
232,root:baby_birth:vaginal_delivery,ERR526006
233,root:mother,ERR526007
234,root:baby_fourthmonth:vaginal_delivery,ERR526009
235,root:baby_birth:vaginal_delivery,ERR526010
236,root:mother,ERR526011
237,root:baby_fourthmonth:vaginal_delivery,ERR526013
238,root:baby_birth:vaginal_delivery,ERR526014
239,root:mother,ERR526015
240,root:baby_fourthmonth:vaginal_delivery,ERR526017
241,root:baby_birth:vaginal_delivery,ERR526018
242,root:mother,ERR526019
243,root:baby_fourthmonth:cesarean_section,ERR526021
244,root:baby_birth:cesarean_section,ERR526022
245,root:mother,ERR526023
246,root:baby_fourthmonth:vaginal_delivery,ERR526025
247,root:baby_birth:vaginal_delivery,ERR526026
248,root:mother,ERR526027
249,root:baby_fourthmonth:cesarean_section,ERR526029
250,root:baby_birth:cesarean_section,ERR526030
251,root:mother,ERR526031
252,root:baby_fourthmonth:cesarean_section,ERR526033
253,root:baby_birth:cesarean_section,ERR526034
254,root:mother,ERR526035
255,root:baby_fourthmonth:vaginal_delivery,ERR526037
256,root:baby_birth:vaginal_delivery,ERR526038
257,root:mother,ERR526039
258,root:baby_fourthmonth:vaginal_delivery,ERR526041
259,root:baby_birth:vaginal_delivery,ERR526042
260,root:mother,ERR526043
261,root:baby_fourthmonth:vaginal_delivery,ERR526045
262,root:baby_birth:vaginal_delivery,ERR526046
263,root:mother,ERR526047
264,root:baby_fourthmonth:vaginal_delivery,ERR526049
265,root:baby_birth:vaginal_delivery,ERR526050
266,root:mother,ERR526051
267,root:baby_fourthmonth:vaginal_delivery,ERR526053
268,root:baby_birth:vaginal_delivery,ERR526054
269,root:mother,ERR526055
270,root:baby_fourthmonth:vaginal_delivery,ERR526057
271,root:baby_birth:vaginal_delivery,ERR526058
272,root:mother,ERR526059
273,root:baby_fourthmonth:cesarean_section,ERR526061
274,root:baby_birth:cesarean_section,ERR526062
275,root:mother,ERR526063
276,root:baby_fourthmonth:vaginal_delivery,ERR526065
277,root:baby_birth:vaginal_delivery,ERR526066
278,root:mother,ERR526067
279,root:baby_fourthmonth:vaginal_delivery,ERR526069
280,root:baby_fourthmonth:vaginal_delivery,ERR526071
281,root:baby_birth:vaginal_delivery,ERR526072
282,root:mother,ERR526073
283,root:baby_birth:vaginal_delivery,ERR526074
284,root:mother,ERR526075
285,root:baby_fourthmonth:vaginal_delivery,ERR526077
286,root:baby_birth:vaginal_delivery,ERR526078
287,root:mother,ERR526079
288,root:baby_fourthmonth:vaginal_delivery,ERR526081
289,root:baby_birth:vaginal_delivery,ERR526082
290,root:mother,ERR526083
291,root:baby_fourthmonth:vaginal_delivery,ERR526085
292,root:baby_birth:vaginal_delivery,ERR526086
293,root:mother,ERR526087
