,root:Host-associated:Human,Unknown
SRR3095050,0.99294615,0.007053852
DRR018766,0.99293613,0.0070638657
ERR531836,0.9929389,0.007061124
ERR209323,0.99294615,0.007053852
ERR1111292,0.99294615,0.007053852
SRR1949031,0.9928984,0.0071015954
SRR1461259,0.9929457,0.007054329
ERR1315293,0.99294615,0.007053852
SRR3501980,0.992946,0.0070539713
SRR5156053,0.99294615,0.007053852
SRR6367312,0.99292576,0.007074237
ERR2784794,0.992946,0.0070539713
ERR1960830,0.99294615,0.007053852
DRR047556,0.9929457,0.007054329
ERR1384662,0.99294615,0.007053852
SRR6414195,0.99294406,0.0070559382
ERR441912,0.99293786,0.007062137
SRR5165729,0.99294615,0.007053852
ERR2511618,0.99294615,0.007053852
ERR2738989,0.99294573,0.0070542693
ERR2511831,0.99294615,0.007053852
SRR028696,0.99294615,0.007053852
ERR1310385,0.99294615,0.007053852
SRR1948987,0.99294555,0.007054448
SRR3361636,0.99294615,0.007053852
ERR499547,0.99294615,0.007053852
SRR5643962,0.99294615,0.007053852
ERR2784826,0.99294496,0.007055044
ERR2738878,0.99294615,0.007053852
ERR1681526,0.99294615,0.007053852
SRR3030555,0.99294615,0.007053852
SRR3095184,0.99294615,0.007053852
ERR209622,0.992946,0.0070539713
SRR2046603,0.99289703,0.0071029663
ERR2011923,0.99294615,0.007053852
SRR2761320,0.99294615,0.007053852
ERR443771,0.99294615,0.007053852
ERR520861,0.99294615,0.007053852
SRR994484,0.99294615,0.007053852
SRR3037206,0.99294615,0.007053852
DRR042789,0.9929438,0.0070561767
SRR6409224,0.99294615,0.007053852
ERR579357,0.99294615,0.007053852
ERR1310075,0.99294615,0.007053852
SRR1922967,0.99294615,0.007053852
ERR2511096,0.99294615,0.007053852
DRR044040,0.9929443,0.0070557
ERR441428,0.9929378,0.0070621967
ERR1315618,0.99294615,0.007053852
SRR1145294,0.9929459,0.0070540905
SRR1923893,0.99294615,0.007053852
SRR6413861,0.992946,0.0070539713
SRR1060336,0.99294615,0.007053852
ERR1624711,0.99294615,0.007053852
SRR6239874,0.99294615,0.007053852
ERR883449,0.99294615,0.007053852
ERR498796,0.99294615,0.007053852
ERR1310244,0.99294615,0.007053852
ERR500832,0.99294615,0.007053852
SRR5165940,0.99294615,0.007053852
ERR525926,0.99294615,0.007053852
SRR7453376,0.99294615,0.007053852
SRR6414356,0.992893,0.0071070194
SRR1617854,0.99294615,0.007053852
SRR5467971,0.9929458,0.0070542097
ERR719567,0.99294615,0.007053852
ERR1313534,0.99294597,0.007054031
ERR209894,0.99294615,0.007053852
SRR8356198,0.99294615,0.007053852
SRR5687812,0.99294615,0.007053852
SRR6054653,0.99294615,0.007053852
DRR042933,0.9929458,0.0070542097
SRR6028326,0.992946,0.0070539713
DRR030581,0.9929433,0.007056713
SRR505195,0.99294573,0.0070542693
ERR500012,0.99294615,0.007053852
ERR1382480,0.99294615,0.007053852
DRR048223,0.99287987,0.0071201324
SRR1461398,0.99294615,0.007053852
DRR042781,0.99294597,0.007054031
ERR1311555,0.99294615,0.007053852
DRR044043,0.992942,0.0070580244
SRR6394112,0.99294615,0.007053852
ERR531570,0.99294615,0.007053852
ERR1309939,0.99294615,0.007053852
SRR7449262,0.99294615,0.007053852
ERR1384896,0.99294615,0.007053852
SRR6411719,0.99294615,0.007053852
SRR1715606,0.9929454,0.007054627
SRR6038208,0.9929459,0.0070540905
SRR994874,0.99294615,0.007053852
SRR6411792,0.99294615,0.007053852
ERR1383301,0.99294615,0.007053852
ERR2002116,0.99294615,0.007053852
SRR6038495,0.9929415,0.0070585012
SRR6444707,0.99294615,0.007053852
ERR498481,0.99294615,0.007053852
SRR5467783,0.9927693,0.007230699
ERR1311052,0.99294615,0.007053852
ERR560932,0.992946,0.0070539713
ERR522290,0.99294615,0.007053852
ERR1313348,0.99294615,0.007053852
SRR2657979,0.99294615,0.007053852
SRR6264091,0.99294615,0.007053852
ERR1315585,0.99294615,0.007053852
SRR5467799,0.99294615,0.007053852
SRR5644003,0.9929408,0.0070592165
ERR1315077,0.9929292,0.00707078
SRR2154898,0.99294615,0.007053852
ERR719361,0.99294615,0.007053852
SRR6309210,0.992946,0.0070539713
SRR028695,0.99294615,0.007053852
ERR1311178,0.99294615,0.007053852
ERR501174,0.99294615,0.007053852
SRR6436941,0.99293417,0.0070658326
SRR6931348,0.99294615,0.007053852
SRR3201920,0.99294615,0.007053852
ERR1611380,0.99294615,0.007053852
ERR498963,0.99294615,0.007053852
ERR209116,0.99294615,0.007053852
ERR2510975,0.99294615,0.007053852
ERR531879,0.99294615,0.007053852
SRR6412140,0.99294615,0.007053852
ERR2003147,0.99294615,0.007053852
SRR3094989,0.99294615,0.007053852
SRR6414076,0.99294615,0.007053852
ERR2286253,0.99294615,0.007053852
SRR3501968,0.99294615,0.007053852
SRR1949033,0.99294436,0.00705564
SRR1556864,0.99294615,0.007053852
SRR6931999,0.99294615,0.007053852
ERR365975,0.99294615,0.007053852
SRR7453350,0.99294615,0.007053852
SRR996768,0.99294615,0.007053852
ERR499114,0.99294615,0.007053852
ERR1624729,0.99294615,0.007053852
ERR1328356,0.99294615,0.007053852
ERR1311151,0.9928808,0.007119179
SRR1949215,0.99294615,0.007053852
ERR1971282,0.99294615,0.007053852
DRR060275,0.9929453,0.0070546865
ERR719158,0.99294615,0.007053852
DRR047430,0.9929314,0.0070685744
SRR6409095,0.99294513,0.0070548654
ERR1383571,0.99294615,0.007053852
SRR6394144,0.992946,0.0070539713
ERR1314707,0.99294615,0.007053852
ERR1811202,0.99294615,0.007053852
ERR579803,0.992946,0.0070539713
ERR579681,0.99294615,0.007053852
ERR579552,0.99294615,0.007053852
SRR346819,0.99270236,0.007297635
SRR3362112,0.99294615,0.007053852
ERR1255781,0.99294317,0.0070568323
ERR981224,0.99294615,0.007053852
ERR719919,0.99294615,0.007053852
SRR7448804,0.99294615,0.007053852
ERR441140,0.9929453,0.0070546865
ERR1311168,0.99294615,0.007053852
SRR7454123,0.99294615,0.007053852
ERR1971206,0.99294615,0.007053852
ERR720197,0.99294615,0.007053852
SRR1633012,0.99294615,0.007053852
SRR6365029,0.99294615,0.007053852
SRR5868778,0.99294615,0.007053852
SRR6451786,0.992946,0.0070539713
SRR5868604,0.99294615,0.007053852
SRR6413829,0.99294615,0.007053852
DRR044099,0.99288964,0.0071103573
SRR3030596,0.992946,0.0070539713
SRR1948999,0.99294615,0.007053852
ERR1678099,0.99294615,0.007053852
ERR1384191,0.99294615,0.007053852
SRR6414331,0.9929451,0.007054925
ERR1382443,0.99294615,0.007053852
ERR866513,0.99294615,0.007053852
SRR1948854,0.99294615,0.007053852
SRR2658005,0.99294615,0.007053852
ERR499037,0.9929461,0.0070539117
ERR532009,0.99294615,0.007053852
DRR024152,0.99293405,0.007065952
ERR2608886,0.99294615,0.007053852
SRR5983449,0.99294597,0.007054031
SRR7448719,0.99294615,0.007053852
SRR3094682,0.99294615,0.007053852
SRR1950737,0.99294615,0.007053852
ERR2739355,0.9929459,0.0070540905
SRR1556874,0.9929459,0.0070540905
DRR068087,0.9929453,0.0070546865
SRR2010448,0.992946,0.0070539713
SRR996492,0.99294615,0.007053852
SRR5947905,0.99294573,0.0070542693
SRR5525184,0.9929461,0.0070539117
ERR499500,0.99294615,0.007053852
ERR1382586,0.99294615,0.007053852
SRR1461312,0.99294615,0.007053852
SRR5156143,0.99294615,0.007053852
SRR6932277,0.99294615,0.007053852
ERR579814,0.99294615,0.007053852
ERR1111200,0.99294615,0.007053852
SRR5155950,0.99294615,0.007053852
ERR107183,0.9928902,0.007109821
ERR500712,0.99294615,0.007053852
ERR1310069,0.99294615,0.007053852
SRR6309288,0.99294615,0.007053852
SRR1175848,0.99294615,0.007053852
ERR209352,0.99294615,0.007053852
ERR1310649,0.99294615,0.007053852
SRR6408613,0.99294615,0.007053852
ERR2511309,0.99294615,0.007053852
ERR2739061,0.99294555,0.007054448
SRR3053345,0.99294597,0.007054031
SRR3037184,0.99294615,0.007053852
DRR042740,0.9929193,0.007080674
SRR7454061,0.99294615,0.007053852
ERR499703,0.99294615,0.007053852
SRR3501952,0.99294615,0.007053852
ERR1913054,0.99294597,0.007054031
DRR043930,0.9929334,0.0070666075
ERR2511454,0.99294615,0.007053852
ERR531452,0.99294615,0.007053852
ERR1558870,0.9927658,0.0072342157
ERR2730169,0.99294615,0.007053852
ERR1382294,0.99294615,0.007053852
ERR1310689,0.99294615,0.007053852
ERR500752,0.99294615,0.007053852
SRR5468026,0.99294615,0.007053852
SRR6408920,0.99294615,0.007053852
SRR6148431,0.99294615,0.007053852
ERR2730352,0.99294615,0.007053852
ERR525790,0.99294615,0.007053852
DRR048082,0.99292785,0.0070721507
SRR5831890,0.99289155,0.00710845
SRR5483127,0.992946,0.0070539713
SRR1704689,0.99294615,0.007053852
SRR1617999,0.99294615,0.007053852
ERR2511763,0.99294615,0.007053852
SRR5831824,0.99294615,0.007053852
SRR6413841,0.99292874,0.0070712566
ERR1383495,0.99294615,0.007053852
ERR719534,0.99294615,0.007053852
ERR501192,0.99294615,0.007053852
SRR920265,0.99294615,0.007053852
SRR6444173,0.9929451,0.007054925
ERR579769,0.99294615,0.007053852
ERR561528,0.99294615,0.007053852
ERR2511795,0.99294615,0.007053852
SRR2924543,0.99294615,0.007053852
ERR1960738,0.99294615,0.007053852
SRR5467675,0.992946,0.0070539713
ERR866541,0.99294615,0.007053852
SRR1631664,0.99294615,0.007053852
SRR1923774,0.99294615,0.007053852
ERR441592,0.99294436,0.00705564
ERR1384584,0.99294615,0.007053852
ERR520846,0.99294615,0.007053852
DRR043224,0.99294376,0.0070562363
SRR1461480,0.9929451,0.007054925
ERR1309702,0.99294615,0.007053852
ERR1384458,0.99294615,0.007053852
SRR3037189,0.99294615,0.007053852
ERR209599,0.99294615,0.007053852
ERR501147,0.99294615,0.007053852
SRR6394136,0.99294114,0.007058859
ERR1382841,0.99294615,0.007053852
SRR1631002,0.99294615,0.007053852
SRR5467664,0.99294615,0.007053852
ERR444487,0.9929093,0.0070906878
ERR441195,0.99294615,0.007053852
ERR1382709,0.99294615,0.007053852
SRR3285795,0.99294615,0.007053852
SRR2010493,0.99294615,0.007053852
ERR2511009,0.99294615,0.007053852
ERR2003115,0.99294615,0.007053852
ERR531968,0.99294615,0.007053852
ERR579565,0.99294615,0.007053852
ERR866634,0.99294615,0.007053852
ERR1385507,0.99294615,0.007053852
SRR3503303,0.99294615,0.007053852
SRR6444414,0.9929452,0.0070548058
SRR6408704,0.99292266,0.0070773363
SRR996925,0.99294615,0.007053852
SRR6264701,0.992946,0.0070539713
SRR1950692,0.99294615,0.007053852
SRR7453903,0.99294615,0.007053852
SRR8356312,0.99294555,0.007054448
ERR450769,0.99294615,0.007053852
ERR2002139,0.99294615,0.007053852
SRR5467653,0.9929255,0.0070744753
ERR2002337,0.99294615,0.007053852
SRR6931707,0.992946,0.0070539713
ERR498865,0.99294615,0.007053852
SRR2010262,0.99294615,0.007053852
ERR443962,0.9929434,0.007056594
SRR996919,0.99294615,0.007053852
SRR6444326,0.9929458,0.0070542097
ERR520754,0.9928947,0.007105291
SRR3581145,0.99294615,0.007053852
DRR047662,0.99294615,0.007053852
DRR043841,0.9929436,0.007056415
SRR6408969,0.99294615,0.007053852
ERR2002192,0.99294615,0.007053852
SRR1632467,0.99294615,0.007053852
ERR1382952,0.99294615,0.007053852
ERR866659,0.9929367,0.007063329
SRR1618107,0.99294615,0.007053852
DRR043163,0.992946,0.0070539713
SRR5155762,0.99294615,0.007053852
SRR5983419,0.99294615,0.007053852
ERR1311130,0.99294615,0.007053852
DRR050764,0.992946,0.0070539713
SRR5688050,0.99294615,0.007053852
ERR441080,0.99294424,0.0070557594
ERR1314535,0.99294615,0.007053852
ERR1382662,0.99294615,0.007053852
ERR498635,0.99294615,0.007053852
ERR209820,0.99294615,0.007053852
SRR5196341,0.99294186,0.0070581436
SRR1617878,0.99294615,0.007053852
SRR1704586,0.99294615,0.007053852
ERR501265,0.99294615,0.007053852
ERR209272,0.99294615,0.007053852
ERR450900,0.99294615,0.007053852
SRR5178097,0.99294615,0.007053852
ERR500447,0.9929385,0.0070614815
DRR043872,0.99294615,0.007053852
SRR5155820,0.99294615,0.007053852
SRR2658731,0.99294615,0.007053852
SRR6408728,0.9929452,0.0070548058
SRR6443911,0.9929461,0.0070539117
SRR6411907,0.99294615,0.007053852
ERR2001870,0.99294615,0.007053852
SRR6412027,0.99294615,0.007053852
ERR2538392,0.99294615,0.007053852
ERR1383616,0.99294615,0.007053852
SRR346843,0.9928967,0.007103324
ERR1313549,0.99294615,0.007053852
ERR499010,0.99294615,0.007053852
ERR494389,0.9929378,0.0070621967
DRR042966,0.99294406,0.0070559382
DRR043945,0.99294585,0.00705415
SRR6409282,0.99294615,0.007053852
SRR7966140,0.9928792,0.007120788
ERR1315365,0.99294615,0.007053852
ERR444044,0.99294573,0.0070542693
SRR7449301,0.99294615,0.007053852
DRR042917,0.99294305,0.0070569515
ERR1314856,0.992946,0.0070539713
SRR5155967,0.99294615,0.007053852
SRR7453820,0.99294615,0.007053852
ERR1314212,0.99294615,0.007053852
SRR6444485,0.99294615,0.007053852
ERR1315681,0.99294573,0.0070542693
SRR3419356,0.99294615,0.007053852
ERR2249138,0.99294615,0.007053852
SRR6445012,0.992946,0.0070539713
SRR5520586,0.99294597,0.007054031
ERR531835,0.99294615,0.007053852
SRR2005650,0.99294615,0.007053852
SRR1617687,0.99294615,0.007053852
ERR2511384,0.99294615,0.007053852
ERR531893,0.99294615,0.007053852
ERR1384466,0.99294615,0.007053852
ERR500020,0.99294615,0.007053852
ERR2002350,0.99294615,0.007053852
ERR2739109,0.9929429,0.0070570707
ERR500967,0.99294615,0.007053852
SRR6038431,0.99294615,0.007053852
ERR1314020,0.99294555,0.007054448
SRR2658770,0.99294615,0.007053852
ERR499542,0.99294615,0.007053852
ERR499723,0.99294615,0.007053852
SRR505170,0.99294543,0.0070545673
ERR579744,0.99294615,0.007053852
SRR5155914,0.99294615,0.007053852
SRR5156068,0.99294615,0.007053852
SRR5165801,0.99294615,0.007053852
SRR6054478,0.99294615,0.007053852
SRR3381549,0.99294615,0.007053852
ERR579443,0.99294615,0.007053852
ERR2730398,0.99294615,0.007053852
SRR3094814,0.99294615,0.007053852
SRR2010485,0.99294615,0.007053852
SRR7448829,0.99294615,0.007053852
SRR1948790,0.99294615,0.007053852
SRR5687901,0.99294615,0.007053852
SRR1632817,0.99294615,0.007053852
SRR2145327,0.99294543,0.0070545673
SRR6264293,0.99294615,0.007053852
ERR209234,0.9929421,0.007057905
ERR1311105,0.99294615,0.007053852
SRR1461384,0.9929454,0.007054627
SRR994708,0.99294615,0.007053852
ERR2511769,0.99294615,0.007053852
SRR7449208,0.99294615,0.007053852
ERR500078,0.99294615,0.007053852
ERR1383832,0.992946,0.0070539713
SRR1461630,0.9929458,0.0070542097
SRR6264742,0.992906,0.0070940256
SRR6414361,0.99269456,0.0073054433
SRR2154935,0.99294615,0.007053852
SRR1949361,0.99294615,0.007053852
SRR2010280,0.99294615,0.007053852
SRR1922893,0.9929345,0.007065475
SRR7453762,0.9929153,0.0070847273
ERR1311475,0.99294615,0.007053852
SRR3951244,0.9928762,0.007123828
ERR2198018,0.99294615,0.007053852
SRR5869582,0.99294615,0.007053852
DRR047562,0.99293953,0.007060468
SRR996780,0.99294615,0.007053852
ERR443931,0.99294615,0.007053852
ERR2011876,0.99294615,0.007053852
SRR7448771,0.9929431,0.007056892
SRR2143846,0.99294615,0.007053852
ERR500902,0.99294615,0.007053852
ERR2739204,0.99294615,0.007053852
SRR6932056,0.99294615,0.007053852
DRR048113,0.99294615,0.007053852
ERR1960732,0.99294615,0.007053852
ERR501097,0.99294615,0.007053852
ERR498872,0.99294615,0.007053852
SRR994840,0.99294615,0.007053852
SRR5155958,0.99294615,0.007053852
SRR2658196,0.99294615,0.007053852
ERR441269,0.992946,0.0070539713
ERR1310600,0.99294615,0.007053852
SRR3037277,0.99294615,0.007053852
SRR8484999,0.992946,0.0070539713
SRR5467555,0.99294615,0.007053852
ERR1314263,0.99294615,0.007053852
ERR3040048,0.99294615,0.007053852
SRR6409044,0.99294245,0.0070575476
ERR1310104,0.992946,0.0070539713
ERR2739365,0.99294615,0.007053852
DRR048192,0.9929457,0.007054329
ERR981245,0.99294573,0.0070542693
SRR919884,0.99294615,0.007053852
SRR5467643,0.99294615,0.007053852
ERR2784678,0.9929439,0.007056117
SRR995045,0.99294615,0.007053852
SRR2154920,0.99294615,0.007053852
SRR2154964,0.99294615,0.007053852
ERR2739379,0.99294615,0.007053852
ERR1913101,0.99294615,0.007053852
ERR499868,0.99294615,0.007053852
SRR7448837,0.99294615,0.007053852
SRR3361612,0.99294615,0.007053852
SRR3095138,0.99294615,0.007053852
SRR1618073,0.992946,0.0070539713
SRR5831826,0.99293965,0.007060349
ERR1913053,0.99294615,0.007053852
ERR451020,0.99294615,0.007053852
SRR3201884,0.99294615,0.007053852
ERR1313434,0.99294615,0.007053852
SRR6414152,0.99294597,0.007054031
SRR3030617,0.99294615,0.007053852
DRR042946,0.992946,0.0070539713
ERR1760054,0.99294615,0.007053852
SRR5983333,0.99294597,0.007054031
ERR2738687,0.99294513,0.0070548654
ERR2261914,0.9929459,0.0070540905
ERR2247364,0.99294615,0.007053852
SRR3094813,0.99294615,0.007053852
SRR6931552,0.9929459,0.0070540905
SRR6411938,0.99294615,0.007053852
SRR7448866,0.99294615,0.007053852
ERR1971278,0.99294615,0.007053852
SRR5156106,0.99294615,0.007053852
SRR6444508,0.9929459,0.0070540905
ERR368893,0.99294484,0.0070551634
ERR1759951,0.99294615,0.007053852
SRR6931943,0.99294615,0.007053852
ERR107203,0.99294454,0.0070554614
ERR1383703,0.99294615,0.007053852
ERR866530,0.99294615,0.007053852
ERR1109536,0.99294615,0.007053852
SRR6394109,0.99294615,0.007053852
ERR500843,0.99294615,0.007053852
SRR920204,0.99294615,0.007053852
ERR441709,0.99294287,0.0070571303
SRR4303969,0.99294615,0.007053852
DRR042875,0.99290097,0.0070990324
SRR6931263,0.99294615,0.007053852
SRR2923748,0.99294615,0.007053852
ERR525694,0.99294615,0.007053852
SRR6931221,0.99294615,0.007053852
SRR6028517,0.99294615,0.007053852
ERR1297807,0.992946,0.0070539713
SRR6264169,0.992946,0.0070539713
SRR5467903,0.9929455,0.0070545077
ERR1382689,0.99294615,0.007053852
SRR1923874,0.99294615,0.007053852
ERR2739016,0.99294555,0.007054448
SRR1632401,0.99294615,0.007053852
SRR6411710,0.992946,0.0070539713
SRR3094874,0.99294615,0.007053852
SRR919908,0.99294615,0.007053852
SRR1617734,0.99294615,0.007053852
ERR2739401,0.99294597,0.007054031
DRR044060,0.9929284,0.0070716143
SRR1631289,0.99294615,0.007053852
ERR2511278,0.99294615,0.007053852
SRR5525228,0.99294615,0.007053852
ERR531892,0.9929453,0.0070546865
SRR2086950,0.99294615,0.007053852
ERR1314146,0.99294597,0.007054031
ERR1987769,0.99294615,0.007053852
SRR7453373,0.99294615,0.007053852
SRR7454032,0.99294615,0.007053852
ERR1913099,0.9929459,0.0070540905
SRR6414180,0.99294615,0.007053852
DRR060303,0.9929395,0.007060528
SRR2145292,0.992946,0.0070539713
ERR365953,0.99294615,0.007053852
ERR441245,0.9929457,0.007054329
ERR2511649,0.99294615,0.007053852
ERR520704,0.99294615,0.007053852
ERR499779,0.99294615,0.007053852
SRR6028531,0.99294615,0.007053852
SRR6932542,0.99294615,0.007053852
ERR444072,0.99294615,0.007053852
SRR3095118,0.99294615,0.007053852
ERR531989,0.9929391,0.0070608854
ERR1310584,0.99294615,0.007053852
ERR444499,0.992946,0.0070539713
SRR505164,0.99294615,0.007053852
SRR6264187,0.99294615,0.007053852
ERR531622,0.99294615,0.007053852
SRR5869254,0.99294615,0.007053852
SRR387969,0.9929135,0.0070865154
SRR8356253,0.99294615,0.007053852
SRR6931993,0.99294615,0.007053852
SRR6932297,0.99294615,0.007053852
ERR209188,0.992946,0.0070539713
SRR996553,0.99294615,0.007053852
ERR1811181,0.99294615,0.007053852
SRR5166013,0.99294615,0.007053852
ERR500655,0.99294615,0.007053852
ERR1383962,0.99294615,0.007053852
SRR1715601,0.99294615,0.007053852
ERR1383955,0.99294615,0.007053852
ERR2003191,0.99294615,0.007053852
ERR720234,0.99294615,0.007053852
SRR2657969,0.99294615,0.007053852
SRR1537490,0.9929391,0.0070608854
SRR6413838,0.99294615,0.007053852
ERR720083,0.992946,0.0070539713
SRR7704533,0.99294615,0.007053852
ERR2624765,0.99294615,0.007053852
DRR049484,0.99294615,0.007053852
SRR3502000,0.99294615,0.007053852
ERR209667,0.99294615,0.007053852
SRR5156151,0.99294615,0.007053852
ERR1385385,0.99294615,0.007053852
ERR209777,0.99294615,0.007053852
ERR579737,0.99294615,0.007053852
SRR919866,0.99294615,0.007053852
SRR6931458,0.99294615,0.007053852
SRR6444709,0.99294573,0.0070542693
ERR1960765,0.99294615,0.007053852
SRR920206,0.9929458,0.0070542097
SRR1715635,0.99294615,0.007053852
SRR6028393,0.99294615,0.007053852
ERR441528,0.9929459,0.0070540905
SRR1745943,0.9929433,0.007056713
SRR1618175,0.99294615,0.007053852
SRR6931923,0.99294615,0.007053852
SRR6444650,0.992946,0.0070539713
ERR1383897,0.99294615,0.007053852
ERR719244,0.99294615,0.007053852
SRR995086,0.99294615,0.007053852
ERR579821,0.99294615,0.007053852
SRR6414288,0.99294615,0.007053852
SRR6028594,0.992946,0.0070539713
ERR1624718,0.99294615,0.007053852
ERR2511383,0.99294615,0.007053852
SRR3037119,0.99291176,0.007088244
ERR500867,0.99294615,0.007053852
SRR3951181,0.99289715,0.007102847
ERR1659111,0.99294615,0.007053852
SRR6932023,0.99294615,0.007053852
SRR996765,0.99294615,0.007053852
DRR042800,0.99294615,0.007053852
ERR2511873,0.99294615,0.007053852
SRR387957,0.9922608,0.0077391863
ERR2002083,0.99294615,0.007053852
SRR6931417,0.99294615,0.007053852
ERR2730323,0.99294615,0.007053852
SRR6265362,0.99294263,0.0070573688
ERR443792,0.99294615,0.007053852
SRR920696,0.99294615,0.007053852
SRR6408675,0.99294615,0.007053852
SRR6394083,0.99294615,0.007053852
ERR500462,0.99294615,0.007053852
ERR1760000,0.99294615,0.007053852
ERR531507,0.99294615,0.007053852
SRR2145404,0.992946,0.0070539713
SRR1617784,0.99294615,0.007053852
SRR6451824,0.992946,0.0070539713
ERR1297669,0.99294615,0.007053852
ERR1315100,0.9929461,0.0070539117
ERR1913010,0.99294615,0.007053852
ERR1313496,0.992946,0.0070539713
DRR044360,0.9929446,0.007055402
ERR501387,0.99294615,0.007053852
ERR2511063,0.99294615,0.007053852
ERR1314773,0.9929461,0.0070539117
ERR139235,0.99294615,0.007053852
ERR499781,0.99294615,0.007053852
SRR6932270,0.99294615,0.007053852
ERR1315324,0.99294615,0.007053852
ERR441671,0.9929461,0.0070539117
SRR7448830,0.99294615,0.007053852
SRR996978,0.99294615,0.007053852
ERR1331869,0.9929458,0.0070542097
