,root:Engineered,root:Environmental,root:Host-associated
ERR765621,0.0016311746,0.0036550483,0.9947137
SRR5396118,0.0035741914,0.976033,0.02039287
SRR5431342,0.0016220928,0.0036531738,0.9947247
ERR2198646,0.001681167,0.0036134124,0.9947054
SRR632449,0.0035741879,0.976033,0.020392869
SRR3095183,0.0017089616,0.0035740547,0.99471694
ERR1111233,0.0017041231,0.0035788303,0.99471706
ERR1383364,0.0017018103,0.003581295,0.99471694
SRR1923187,0.0035749795,0.9760257,0.020399295
ERR996143,0.0016142968,0.0036603324,0.9947254
SRR919885,0.0016087259,0.003662854,0.9947284
SRR3647802,0.0016748951,0.0036019855,0.9947232
ERR1313954,0.001615401,0.0036586972,0.9947259
ERR1913058,0.0016165893,0.0036565834,0.99472684
SRR6408832,0.0016825629,0.0036018002,0.99471563
ERR2738933,0.0016560091,0.0036380957,0.99470586
SRR6931542,0.0017063197,0.0035686782,0.9947249
SRR4414985,0.011904811,0.5350549,0.4530403
ERR526069,0.0016117059,0.0036597627,0.9947285
ERR1297638,0.0016198464,0.003653675,0.9947265
SRR2046556,0.0016485115,0.0036226774,0.99472886
SRR6417453,0.00166638,0.0036090738,0.9947246
ERR1725511,0.0017299646,0.003983224,0.99428684
SRR5155552,0.0035741976,0.97603285,0.020392923
ERR522646,0.0016779699,0.003605248,0.9947168
SRR5179009,0.0035741879,0.976033,0.020392869
ERR923481,0.0017209311,0.0035576746,0.9947214
ERR1677269,0.0016305959,0.0036420447,0.9947273
SRR6235188,0.0035742177,0.97603273,0.020393096
SRR788718,0.013561537,0.8477194,0.13871907
ERR1523821,0.004356785,0.121084645,0.8745585
ERR1616403,0.0016384609,0.003655939,0.9947056
SRR2126808,0.0035741879,0.976033,0.020392869
ERR923482,0.001765651,0.0035123322,0.994722
SRR6754350,0.003574947,0.9760261,0.020398954
ERR1315197,0.0016175143,0.0036557463,0.9947267
ERR2784832,0.0016937278,0.0035779087,0.9947284
ERR1385036,0.0016124201,0.003661936,0.99472564
ERR2739127,0.0017017844,0.0036030128,0.99469525
SRR6764580,0.0016158008,0.0036573298,0.99472684
SRR995905,0.0016128109,0.0036618367,0.9947253
SRR7453491,0.0021762,0.0052266647,0.9925971
ERR2249168,0.0016385766,0.0036401772,0.9947213
SRR5178950,0.0035741879,0.976033,0.020392869
SRR6414100,0.0016085412,0.0036629192,0.9947285
ERR1385234,0.001707834,0.0035691361,0.9947231
SRR5724717,0.0016164653,0.003659371,0.9947241
SRR6054655,0.0016343142,0.0036432673,0.9947225
ERR2716298,0.8281044,0.058431003,0.11346461
ERR1829014,0.0016145462,0.0036615038,0.994724
SRR2849311,0.0035786196,0.97599137,0.02042997
SRR5431549,0.0018538586,0.003621251,0.99452496
SRR7449209,0.0016627796,0.0036296975,0.99470747
SRR1725168,0.0035743064,0.97603184,0.020393817
SRR6056097,0.0035743793,0.97603124,0.020394405
ERR499973,0.0016093845,0.0036624866,0.99472815
SRR1824437,0.0035741879,0.976033,0.020392869
ERR765788,0.0016379923,0.0036487794,0.99471325
ERR1311174,0.0016089862,0.003662561,0.9947285
ERR3006039,0.0016244067,0.0036540383,0.99472153
SRR6414411,0.0016088893,0.003662739,0.9947284
SRR1703037,0.0017633063,0.0035382805,0.9946984
ERR2528808,0.0016797798,0.0036244355,0.99469584
SRR3095083,0.0016915381,0.0035776037,0.99473083
ERR498646,0.0016796641,0.0035887088,0.99473166
SRR8605185,0.0023066797,0.005601211,0.99209213
ERR719714,0.0017165722,0.0035547111,0.99472874
ERR2003154,0.0016087957,0.0036628,0.9947284
SRR8608613,0.001822432,0.004243141,0.99393445
SRR5179841,0.0035741928,0.97603285,0.020392898
SRR6038355,0.0016954793,0.0035796163,0.9947249
ERR1533692,0.001754507,0.0036380638,0.9946075
ERR883424,0.001741743,0.0035366241,0.99472165
ERR2560563,0.0016362526,0.003650667,0.994713
SRR1426193,0.0016640706,0.0036493982,0.9946865
SRR6264582,0.0016107205,0.0036619788,0.9947273
SRR5640756,0.0035741914,0.976033,0.02039287
SRR3951083,0.0016532992,0.0036221403,0.9947246
ERR441307,0.0016309137,0.0036503323,0.9947187
SRR2897291,0.0016593165,0.0036294947,0.99471116
ERR2777824,0.002369051,0.003420624,0.99421036
SRR2006037,0.0035744633,0.97603047,0.020395078
DRR047680,0.0016292175,0.0036425933,0.99472815
ERR1533893,0.0018004966,0.0036655138,0.994534
SRR5179962,0.0035741944,0.97603285,0.020392884
ERR1691474,0.0017070511,0.0035691678,0.9947238
DRR044185,0.0016241365,0.0036494574,0.99472636
ERR1896853,0.0044284337,0.119469546,0.87610203
ERR867475,0.0016465067,0.0036313026,0.99472225
ERR1263535,0.001688195,0.0036079902,0.9947038
SRR6874521,0.0016088317,0.003662814,0.9947284
SRR2010448,0.0016285576,0.003647944,0.99472356
ERR756469,0.0016448447,0.0036495987,0.9947056
SRR578774,0.0035743695,0.97603136,0.020394327
DRR029147,0.0016172094,0.0036566837,0.9947261
SRR3095112,0.0018745606,0.0034130586,0.99471235
SRR3624428,0.013567024,0.8476298,0.13880315
SRR2168220,0.0035741879,0.976033,0.020392869
SRR5586549,0.0016468561,0.00364092,0.99471223
ERR107213,0.0016114713,0.0036601112,0.9947284
SRR1618219,0.0016215767,0.003653398,0.99472505
SRR8608703,0.009252045,0.03209991,0.9586481
SRR2098459,0.0035741879,0.976033,0.020392869
ERR443269,0.00160971,0.0036626104,0.9947277
SRR4431480,0.0035741976,0.97603285,0.020392919
SRR924179,0.0035741895,0.976033,0.02039287
ERR2531942,0.001626604,0.003646166,0.9947272
SRR5210786,0.0016648393,0.0036246753,0.99471045
SRR5915727,0.0035741879,0.976033,0.020392869
SRR7584473,0.001621762,0.003657666,0.9947206
ERR3660998,0.0035741879,0.976033,0.020392869
SRR1048837,0.0035741879,0.976033,0.020392869
SRR3053542,0.0016817866,0.0035972605,0.99472094
SRR6309258,0.0016336339,0.0036448399,0.99472153
ERR1383822,0.0017135227,0.003574436,0.9947121
ERR501041,0.0016963362,0.0035841076,0.9947195
SRR8611185,0.001982546,0.0048054387,0.993212
DRR043905,0.0016168267,0.0036544534,0.99472874
ERR1328369,0.0016733115,0.0036076617,0.994719
SRR3624551,0.013567024,0.8476298,0.13880315
DRR047370,0.0016280917,0.003643695,0.99472827
SRR5915418,0.003574219,0.9760326,0.020393107
ERR1691291,0.0016404027,0.0036293445,0.99473023
SRR2668740,0.0035741879,0.976033,0.020392869
ERR1263864,0.001620655,0.0036596917,0.9947196
SRR8356207,0.0016868045,0.0035989226,0.9947142
ERR1583348,0.0035741928,0.97603285,0.020392898
SRR1119070,0.0035741879,0.976033,0.020392869
SRR7902274,0.004342413,0.12139997,0.8742577
ERR1689660,0.0016756838,0.0035949282,0.99472946
ERR1103030,0.003574228,0.97603273,0.020393029
ERR765677,0.0016252082,0.0036567918,0.994718
ERR1677066,0.0036283724,0.9755417,0.020829953
SRR8609595,0.0016427434,0.0037150776,0.99464214
SRR6038245,0.0016542708,0.0036177803,0.9947279
SRR2549672,0.0035742146,0.97603285,0.020392928
SRR952979,0.0035741879,0.976033,0.020392869
ERR579579,0.0016107095,0.0036617054,0.99472755
SRR1949071,0.0016973413,0.0035948192,0.9947078
SRR6412011,0.0016087422,0.003662736,0.9947285
SRR3951108,0.001610105,0.0036615236,0.9947284
ERR1529639,0.0016304817,0.0036444757,0.99472505
ERR1109454,0.0016375155,0.003643764,0.9947187
SRR8356374,0.0016849726,0.0036006481,0.9947143
SRR1744098,0.0016096411,0.0036626004,0.9947278
ERR1398073,0.0016894229,0.0035817854,0.99472886
SRR6671059,0.0016192197,0.0036844693,0.99469626
ERR1310069,0.001619375,0.003654385,0.99472624
ERR209809,0.0017138735,0.0035815102,0.99470466
ERR1691101,0.001716216,0.0035566147,0.9947272
SRR1532814,0.0035741879,0.976033,0.020392869
ERR1256789,0.0016257565,0.0036555163,0.9947187
SRR2145622,0.0016538741,0.0036235654,0.9947226
SRR1585379,0.0016519082,0.003636008,0.9947121
SRR1119147,0.0035742768,0.97603214,0.020393575
ERR525711,0.0016116283,0.003662238,0.9947261
SRR1556811,0.0016890767,0.0035857707,0.99472517
SRR1952980,0.0035742423,0.9760325,0.020393262
SRR5915498,0.0035741944,0.97603285,0.02039288
SRR1980915,0.0035743797,0.97603136,0.020394277
SRR6413959,0.0017118576,0.0035698155,0.9947184
SRR5823482,0.0035741895,0.976033,0.02039287
DRR024063,0.0016455268,0.0036399837,0.99471444
ERR525778,0.0016643209,0.0036077816,0.9947279
ERR1726027,0.8281114,0.0583934,0.11349511
ERR1331805,0.0016150355,0.0036612581,0.9947237
SRR3501909,0.0016617554,0.0036198834,0.9947184
ERR878269,0.00172945,0.003575492,0.9946951
SRR3647819,0.0016468109,0.0036454496,0.9947077
SRR1617942,0.0016766711,0.0036056123,0.9947178
SRR5595755,0.0035785597,0.9759937,0.020427758
DRR043212,0.0016194681,0.0036526213,0.9947279
SRR3094904,0.0016500739,0.0036212197,0.99472874
SRR5460273,0.0035741944,0.97603285,0.02039288
SRR5874717,0.0035741879,0.976033,0.020392869
SRR1708664,0.0016458065,0.0036338766,0.99472034
ERR487539,0.001801394,0.003635579,0.99456304
ERR1594273,0.011262898,0.88343245,0.105304584
ERR1249600,0.0016131337,0.0036616793,0.99472517
SRR7453445,0.0016521307,0.003633608,0.9947142
ERR1511960,0.0016600323,0.0036447104,0.99469525
SRR7406716,0.0035741879,0.976033,0.020392869
SRR6411538,0.001613972,0.0036573524,0.99472874
SRR3884332,0.0035742344,0.9760326,0.020393107
ERR1428188,0.0016495305,0.003633585,0.99471694
SRR5180143,0.0035741879,0.976033,0.020392869
ERR1299322,0.0035741879,0.976033,0.020392869
SRR3742097,0.0035741879,0.976033,0.020392869
ERR1310290,0.0016345187,0.0036470501,0.99471843
ERR2511563,0.0017173045,0.0035717466,0.9947109
SRR994750,0.0016133834,0.003661633,0.9947249
ERR1226394,0.0016319228,0.003648323,0.99471974
SRR2761086,0.0016161085,0.003657871,0.994726
SRR1824331,0.0035741879,0.976033,0.020392869
SRR1030774,0.0035741879,0.976033,0.020392869
ERR1310711,0.001646628,0.0036337317,0.9947196
ERR487934,0.0034633435,0.008980072,0.9875566
SRR1040461,0.0035741976,0.97603285,0.020392884
SRR8610703,0.0016361224,0.0037262612,0.99463767
SRR2046637,0.0016092003,0.003662741,0.994728
ERR1905697,0.0017413894,0.0035334958,0.99472505
SRR6511692,0.003574209,0.97603273,0.020393029
ERR2060020,0.0016320106,0.0036568188,0.99471116
ERR1905849,0.0016089985,0.003662561,0.9947285
SRR6745792,0.0035741879,0.976033,0.020392869
SRR6764940,0.0016876849,0.0036045427,0.9947077
SRR5181113,0.0035741879,0.976033,0.020392869
ERR1533339,0.0017513202,0.0036342833,0.9946144
SRR5431285,0.0016085382,0.0036629192,0.9947285
DRR041886,0.0016197251,0.0036523181,0.9947279
SRR2658162,0.0016130077,0.0036598416,0.9947272
ERR1521963,0.0018032723,0.0036794927,0.99451727
ERR719626,0.0016942425,0.003604319,0.9947015
ERR1678318,0.0016304799,0.00364741,0.9947221
SRR1027965,0.0048343805,0.109919086,0.88524646
ERR1512066,0.0017007027,0.003600956,0.9946983
SRR5451626,0.0035741879,0.976033,0.020392869
SRR8608454,0.009518471,0.05969285,0.93078864
SRR6264128,0.0016120025,0.0036620437,0.994726
ERR1384373,0.001658037,0.0036168797,0.99472505
SRR920701,0.0016086762,0.0036628686,0.9947285
SRR6413858,0.0016172365,0.0036561294,0.9947266
SRR920158,0.001608575,0.0036628998,0.9947285
SRR7449354,0.0016874173,0.0036117935,0.9947008
SRR5486638,0.0035773565,0.97600424,0.020418348
SRR5483093,0.0016682677,0.0036136,0.99471813
SRR5240871,0.0035741879,0.976033,0.020392869
SRR980708,0.0016354258,0.0036557708,0.9947088
ERR1366590,0.001657088,0.0036419623,0.994701
SRR7453735,0.0016875678,0.0036045073,0.99470794
ERR1690908,0.001649895,0.003621583,0.9947285
ERR537680,0.0016571261,0.0036323096,0.99471056
ERR983879,0.0016349431,0.0036620882,0.994703
ERR1521924,0.001942154,0.0037162032,0.9943416
ERR532246,0.001644,0.0036296505,0.99472636
ERR1523399,0.001847169,0.0037479177,0.9944049
SRR7081210,0.005181608,0.9750769,0.019741531
SRR5643991,0.0016107031,0.003662367,0.99472696
SRR6414190,0.0016091062,0.0036626335,0.99472827
SRR7449071,0.0017284092,0.003562951,0.99470866
ERR1533693,0.0017326596,0.0036408026,0.9946266
SRR5915784,0.0035741879,0.976033,0.020392869
ERR500845,0.001611161,0.0036622537,0.9947266
ERR1428285,0.0016129784,0.0036617978,0.99472517
SRR6746173,0.0035807241,0.97597504,0.020444252
SRR3233420,0.0035741879,0.976033,0.020392869
ERR1897521,0.0035743997,0.97603124,0.020394323
SRR8609898,0.0016446225,0.0036678994,0.99468744
ERR1383448,0.0018833895,0.0034269616,0.9946897
ERR1523191,0.0034995803,0.009155445,0.9873449
SRR6264086,0.0016560054,0.0036219226,0.9947221
ERR1897669,0.0035852205,0.97593635,0.020478452
ERR1905748,0.0016100515,0.003661454,0.9947285
ERR209521,0.0019175647,0.0033971644,0.9946853
SRR6932412,0.0016112397,0.0036601173,0.9947286
ERR1310465,0.0016212515,0.0036530343,0.99472564
SRR6663547,0.0035741879,0.976033,0.020392869
ERR531813,0.0016886453,0.0035868797,0.99472445
ERR2784829,0.001677625,0.003603201,0.99471915
ERR1263459,0.0016392485,0.0036538506,0.9947069
SRR5908274,0.0035929985,0.97586274,0.020544263
ERR1144133,0.0035741879,0.976033,0.020392869
SRR2097675,0.0035741879,0.976033,0.020392869
ERR1384314,0.0016468519,0.0036282386,0.9947249
ERR579406,0.0016919987,0.003584384,0.9947237
SRR7535698,0.0016285916,0.0036522024,0.99471915
SRR769702,0.0016085382,0.0036629192,0.9947285
SRR6263971,0.0017377621,0.0035493914,0.99471277
ERR1582207,0.0035742468,0.97603273,0.020393034
ERR1382969,0.0017266684,0.0035686095,0.9947048
ERR1366514,0.0016817704,0.0036323816,0.99468577
SRR5178815,0.0035741879,0.976033,0.020392869
SRR8609507,0.0035832357,0.9759511,0.020465631
SRR7479529,0.005537567,0.95658594,0.03787647
SRR6746530,0.0035741879,0.976033,0.020392869
ERR1896885,0.0035742475,0.9760325,0.02039329
SRR4415062,0.0035741879,0.976033,0.020392869
ERR1298314,0.0016138719,0.0036593396,0.99472684
ERR498971,0.0016123059,0.0036599624,0.9947278
DRR041987,0.0016282777,0.0036465116,0.99472517
ERR2739381,0.0016170182,0.0036568407,0.9947261
SRR1129832,0.0035741879,0.976033,0.020392869
SRR5176156,0.0035742405,0.97603285,0.020392967
SRR5566519,0.0016835654,0.0036538134,0.99466264
ERR321958,0.0016085826,0.0036629087,0.9947285
ERR1690844,0.0016974579,0.003579657,0.99472296
SRR6056040,0.0035743362,0.9760316,0.020394044
SRR6005034,0.0035742158,0.97603273,0.020393051
SRR5915836,0.0035741879,0.976033,0.020392869
ERR1523376,0.0016927173,0.0036536204,0.9946537
SRR5915908,0.0035742773,0.97603273,0.020393034
SRR2849339,0.0023051286,0.0041810283,0.9935138
SRR5156155,0.0016478752,0.0036373774,0.9947148
ERR2538506,0.0016713567,0.0036277634,0.9947009
SRR7449374,0.0016348371,0.0036564092,0.9947088
ERR867082,0.0016953875,0.003587084,0.99471754
SRR1799096,0.013567024,0.8476298,0.13880315
ERR1382663,0.001712117,0.0035668474,0.99472106
ERR1690803,0.0016422471,0.0036291135,0.9947286
ERR1298235,0.0016096807,0.00366235,0.994728
ERR3063408,0.003575095,0.9760247,0.020400159
SRR1747508,0.0035741879,0.976033,0.020392869
SRR7449197,0.0017250244,0.0036132298,0.99466175
ERR1583091,0.0035741944,0.97603285,0.020392904
SRR1258279,0.0035741879,0.976033,0.020392869
SRR1771021,0.013567024,0.8476298,0.13880315
DRR029225,0.0016287456,0.0036456836,0.9947255
SRR5180815,0.0035741879,0.976033,0.020392869
SRR5178702,0.003574324,0.97603196,0.020393746
DRR048160,0.001636408,0.0036358417,0.9947278
SRR8609342,0.011217004,0.03641038,0.95237255
SRR996023,0.0016364779,0.0036562325,0.9947072
SRR5181225,0.0035741879,0.976033,0.020392869
ERR1385437,0.0017024159,0.0035739103,0.9947237
SRR6976030,0.0035741879,0.976033,0.020392869
SRR5902380,0.003574511,0.97603,0.020395465
SRR6245978,0.0016608475,0.0036202907,0.9947188
SRR996513,0.0016185907,0.0036604123,0.99472106
SRR6038516,0.0017033903,0.00357488,0.9947218
SRR7448775,0.0016294798,0.0036572486,0.99471325
ERR1598960,0.0016160842,0.0036566842,0.9947272
ERR1689647,0.001644373,0.0036263964,0.9947292
ERR1428430,0.0016161904,0.0036610176,0.99472284
ERR500220,0.0016126622,0.0036598272,0.99472755
SRR6764942,0.0016500701,0.0036268134,0.9947231
ERR878283,0.0017713438,0.003562791,0.99466586
DRR050933,0.0016111446,0.0036611336,0.9947278
SRR7584797,0.001717813,0.0035907307,0.99469143
SRR5100256,0.38086432,0.33353212,0.2856036
DRR024119,0.001648805,0.0036283312,0.99472284
ERR1725487,0.0016333538,0.0036568053,0.99470985
ERR1614701,0.001672845,0.0036175617,0.9947096
SRR6394147,0.0016410644,0.0036325436,0.99472636
ERR1905881,0.0018332864,0.0034398027,0.99472696
SRR5180292,0.0035741879,0.976033,0.020392869
SRR3742009,0.0035741879,0.976033,0.020392869
ERR1383280,0.0017033993,0.0035823,0.9947143
SRR3503343,0.0016681922,0.0036074573,0.99472433
ERR1905622,0.0016103924,0.003661112,0.9947285
SRR3632966,0.0035745315,0.97603095,0.020394562
ERR756983,0.0016326329,0.0036526737,0.9947147
ERR1462854,0.011769662,0.042706206,0.94552416
SRR6054512,0.0016828884,0.0036088047,0.9947083
SRR6457285,0.0035742903,0.9760321,0.02039363
SRR5831829,0.0016280463,0.0036458282,0.9947261
SRR6038421,0.0016622395,0.0036099837,0.9947278
SRR952022,0.003687321,0.9750035,0.021309244
ERR1905619,0.0016092368,0.0036623355,0.9947284
SRR1583588,0.0016249096,0.003647302,0.9947278
SRR1704452,0.0016085536,0.0036629157,0.9947285
ERR695601,0.0016719216,0.0036098012,0.99471825
ERR1678309,0.0016115261,0.003661852,0.9947266
ERR444311,0.0016384481,0.0036318924,0.99472964
SRR1426384,0.0016414947,0.003655077,0.9947035
SRR5180269,0.003574211,0.97603273,0.020393042
ERR2538387,0.0016344977,0.0036651203,0.99470043
ERR1677335,0.0017409394,0.0035647792,0.9946943
SRR1631388,0.0016281949,0.003659259,0.9947126
SRR7449312,0.0016547799,0.0036505042,0.99469477
SRR995141,0.0016803968,0.0036004374,0.99471915
SRR6408867,0.001642723,0.0036306398,0.9947266
ERR589319,0.0035741879,0.976033,0.020392869
ERR418210,0.0016153806,0.0036599631,0.9947247
ERR908129,0.001653209,0.0036286635,0.99471813
ERR1583100,0.0035742011,0.97603285,0.020392967
SRR5180030,0.0035741879,0.976033,0.020392869
SRR6028318,0.0016149633,0.003658793,0.99472624
ERR365876,0.0016435842,0.0036402126,0.9947162
SRR2658288,0.0016660582,0.0036136475,0.99472034
SRR6409162,0.0016411121,0.0036406573,0.99471825
ERR1315573,0.0016172791,0.0036565012,0.99472624
ERR501158,0.0016113725,0.0036610402,0.99472755
DRR047499,0.0016118111,0.003659764,0.9947284
ERR1905727,0.0016510753,0.0036177265,0.9947312
SRR1948838,0.0016544135,0.0036513724,0.9946942
SRR1299223,0.0016465348,0.0036341515,0.99471927
ERR1428293,0.0016089098,0.0036628258,0.99472827
ERR1582550,0.0035742247,0.97603273,0.020393014
SRR5415570,0.001634071,0.0036421018,0.9947239
SRR6413888,0.0016743824,0.0036133993,0.99471223
ERR444623,0.0016094917,0.0036626323,0.9947279
ERR1310971,0.0016085496,0.0036629105,0.9947285
SRR1027858,0.0016085427,0.0036629245,0.9947285
SRR6931333,0.001788019,0.0035006544,0.9947114
DRR043253,0.0016189984,0.0036536574,0.9947273
ERR1385542,0.0016678855,0.0036142848,0.9947179
ERR1624684,0.0016161241,0.0036605692,0.9947233
ERR1298388,0.0016212009,0.003650429,0.9947284
ERR499043,0.0016097024,0.003662619,0.9947277
SRR6745857,0.0035741879,0.976033,0.020392869
ERR1309910,0.0016750047,0.0036320149,0.994693
SRR8608531,0.009972588,0.007574,0.98245347
SRR5179797,0.0035741944,0.97603285,0.020392898
SRR8356367,0.0016488946,0.0036301448,0.99472094
SRR640630,0.0036099746,0.97570884,0.020681173
SRR5177230,0.0035741879,0.976033,0.020392869
SRR2154903,0.0016090316,0.0036627816,0.99472815
SRR5181227,0.0035741879,0.976033,0.020392869
ERR2002283,0.0016118005,0.003662095,0.9947261
SRR1515143,0.0019591937,0.0037278803,0.9943129
DRR070559,0.0035742177,0.97603273,0.020393096
SRR5831855,0.0016780515,0.0036079683,0.99471396
ERR2020655,0.0016687977,0.0036366666,0.99469453
DRR047793,0.0016280283,0.003645508,0.9947265
ERR1736270,0.0016777599,0.003611801,0.99471045
ERR1256474,0.0016293882,0.0036516879,0.9947189
ERR1308112,0.0016085443,0.0036629175,0.9947285
ERR1897161,0.0035743427,0.97603196,0.020393727
ERR2599220,0.0016620997,0.0036358098,0.99470204
ERR542931,0.0035963706,0.9758261,0.02057757
SRR5002095,0.0035851062,0.9759355,0.020479344
DRR044293,0.0016129661,0.0036590612,0.994728
ERR2709762,0.0016519508,0.0036624866,0.99468553
ERR1691232,0.0016711623,0.0036013585,0.99472743
ERR209422,0.001683037,0.0036099947,0.99470705
