,root:Engineered:Wastewater,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Human,root:Host-associated:Insecta,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
SRR8609510,0.0008336878,0.0026505059,0.009178541,0.0030590787,0.00065074605,0.0036441009,0.9799834,0.0
ERR2013507,0.050647102,0.02708931,0.034367744,0.01848744,0.8024263,0.0022598628,0.064722285,0.0
ERR2168964,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR3214676,0.0008241658,0.00066896266,0.0013665599,0.99095327,0.0013488267,0.0036422687,0.0011959701,0.0
SRR2145567,0.0008243144,0.00066914095,0.0013665007,0.9909527,0.0013493318,0.0036418533,0.0011961485,0.0
SRR6038520,0.00082858413,0.00067661464,0.0013613685,0.9909113,0.0013578633,0.0036536835,0.0012106169,0.0
SRR2135769,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR6408540,0.0008272278,0.00067015283,0.0013665936,0.99093384,0.0013526625,0.0036436755,0.0012057463,0.0
SRR8611088,0.0005601264,0.0039513805,0.008255095,0.0045548426,0.00057573087,0.001865047,0.9802378,0.0
ERR986148,0.0034609206,0.0066678445,0.00056984206,0.014934926,0.000658713,0.9663833,0.0073245624,0.0
SRR618687,0.010847254,0.013193172,0.9437744,0.0126556745,0.0031446805,6.757097e-05,0.01631725,0.0
SRR5165736,0.0008309944,0.0006799747,0.0013600682,0.9908934,0.0013632466,0.003657207,0.001215138,0.0
ERR1522406,0.0033858262,0.0066984543,0.0005558355,0.015018384,0.0006545868,0.9663185,0.007368414,0.0
ERR441857,0.0008242252,0.00066896266,0.0013665599,0.990953,0.0013489455,0.003642239,0.0011960296,0.0
SRR5915519,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR6004942,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR1743320,0.0009326778,0.987977,0.0030031707,0.0009212416,0.0028068488,0.0018057622,0.002553316,0.0
SRR6078510,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR1384703,0.00083142065,0.00069019676,0.0013497366,0.9908243,0.0013579058,0.0037099042,0.0012365258,0.0
SRR3419354,0.00082393416,0.00067060126,0.0013649955,0.990944,0.0013476483,0.0036491863,0.0011996027,0.0
SRR4414753,0.010847253,0.013193229,0.9437743,0.012655673,0.00314468,6.757102e-05,0.016317248,0.0
ERR923875,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
SRR1823073,0.00082733465,0.00068346976,0.0013538987,0.9908693,0.0013514628,0.0036906712,0.001223936,0.0
ERR765956,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
ERR2739324,0.0008241956,0.00066899246,0.0013665601,0.99095315,0.0013488863,0.0036422098,0.0011960594,0.0
ERR1315204,0.00075802783,0.00084293674,0.0012264977,0.99008507,0.0011713381,0.004531435,0.0013846654,0.0
SRR500396,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR1618150,0.0008212978,0.00067443907,0.0013619184,0.9909288,0.001341155,0.0036691804,0.0012032373,0.0
SRR6394105,0.00081529847,0.0007298795,0.0013150963,0.99058014,0.0012981907,0.003941248,0.0013202066,0.0
ERR765596,0.000557373,0.003971312,0.008243871,0.004577699,0.0005748206,0.0018492703,0.98022556,0.0
ERR2729924,0.84341913,0.0038432188,0.0930581,0.0065410286,0.015423616,0.034422204,0.0032926905,0.0
ERR1384065,0.0008556067,0.0007457071,0.00131832,0.9904486,0.0013854066,0.0039203176,0.0013260745,0.0
SRR500340,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR1297936,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
SRR5180939,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR560630,0.00082920335,0.00067198265,0.0013688569,0.99092275,0.0013579853,0.0036425423,0.001206735,0.0
SRR5915312,0.0009322294,0.9879796,0.003002391,0.0009215973,0.0028064565,0.0018047761,0.0025529838,0.0
SRR6287287,0.00093220064,0.98797965,0.0030022156,0.00092186633,0.002806698,0.0018045696,0.002552808,0.0
SRR5179969,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR1311175,0.000590277,0.0014176759,0.0009971964,0.98691267,0.000780028,0.0072286776,0.0020734335,0.0
ERR1691564,0.00055734324,0.003971342,0.008243871,0.004577729,0.0005747909,0.0018493298,0.98022556,0.0
ERR1665723,0.0009322592,0.9879794,0.0030025102,0.0009216271,0.0028064863,0.0018047761,0.0025528946,0.0
SRR5467951,0.0008233719,0.00067176146,0.0013641673,0.9909417,0.0013467903,0.0036524634,0.0011997247,0.0
SRR5983485,0.00082561944,0.00066982256,0.001366943,0.9909458,0.0013517049,0.0036411912,0.0011988784,0.0
SRR6054582,0.0008343806,0.0006774015,0.0013711097,0.99088764,0.0013732187,0.0036438177,0.0012124673,0.0
ERR1690440,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
ERR1581982,0.010847369,0.013193171,0.9437743,0.012655615,0.0031447094,6.75714e-05,0.01631722,0.0
SRR6367262,0.00081867597,0.00068215077,0.001355093,0.990894,0.0013336458,0.0037024592,0.0012139931,0.0
ERR309520,0.0033909637,0.0067017456,0.0005566965,0.015007628,0.0006550682,0.9663234,0.0073645883,0.0
SRR975528,0.010847254,0.013193172,0.9437744,0.0126556745,0.0031446805,6.757097e-05,0.01631725,0.0
ERR1256908,0.0033859175,0.006698725,0.00055586535,0.015017987,0.0006546461,0.9663186,0.0073682745,0.0
ERR443904,0.00084443484,0.0006827655,0.0013748575,0.990811,0.0013790159,0.003664485,0.001243336,0.0
SRR6444496,0.0008266618,0.0006706268,0.0013665317,0.9909392,0.0013536104,0.0036414706,0.001201942,0.0
SRR6408835,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
ERR1263469,0.0034187897,0.006652736,0.00055719865,0.014956269,0.0006576435,0.9663083,0.0074491072,0.0
SRR3191052,0.00082301965,0.00067289366,0.0013628971,0.9909341,0.0013451041,0.0036594032,0.0012025527,0.0
SRR1618042,0.0008241954,0.0006689923,0.0013665895,0.99095315,0.0013488859,0.003642179,0.00119597,0.0
SRR8611086,0.0005579355,0.003967462,0.008246157,0.004573193,0.0005750561,0.0018523543,0.9802278,0.0
ERR1383370,0.00081332866,0.0007097352,0.0013297806,0.99074036,0.0013121337,0.0038335803,0.0012611244,0.0
SRR6412054,0.000824166,0.00066914107,0.0013664415,0.99095243,0.0013487082,0.0036428934,0.0011962081,0.0
ERR1960808,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
SRR6287212,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR6444700,0.0009109735,0.00076737633,0.0013674552,0.9902372,0.001527209,0.0038556221,0.0013341918,0.0
ERR695322,0.0033900407,0.0066965558,0.0005566601,0.015013393,0.0006548545,0.96632284,0.00736561,0.0
SRR5874749,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR209830,0.0008332207,0.00068781036,0.0013528661,0.99082977,0.0013610648,0.0036993944,0.0012358841,0.0
ERR441918,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
SRR3361593,0.00083277555,0.0007515125,0.0013111134,0.9907398,0.0014021221,0.0037400618,0.0012226303,0.0
SRR2922883,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
SRR3624192,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR3647877,0.0007283741,0.00090129126,0.0012010281,0.98981136,0.0011005115,0.0047849724,0.0014725004,0.0
ERR1298054,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
ERR1690818,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
ERR765848,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
ERR2730295,0.00082464237,0.00066926074,0.0013664432,0.990951,0.0013497793,0.00364171,0.0011972196,0.0
SRR062202,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR981222,0.0008219104,0.000696427,0.0013413416,0.9908018,0.0013346872,0.003760165,0.0012437236,0.0
ERR441207,0.000821506,0.0006743205,0.0013619486,0.99092853,0.0013414228,0.003668736,0.0012035348,0.0
ERR531576,0.00082707097,0.000685166,0.0013528649,0.9908734,0.0013534293,0.0036875387,0.0012205846,0.0
ERR2835955,0.003387838,0.006695877,0.00055606815,0.015014719,0.0006548191,0.96631825,0.0073724645,0.0
DRR048075,0.0008263993,0.0006703337,0.001365708,0.99093664,0.001351539,0.0036452939,0.0012041767,0.0
ERR539013,0.010847254,0.013193172,0.9437744,0.0126556745,0.0031446805,6.757097e-05,0.01631725,0.0
ERR2600145,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
ERR500854,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
ERR1428402,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
ERR1512281,0.0037300636,0.005963697,0.00052820164,0.014095139,0.0006960302,0.96567297,0.00931403,0.0
SRR3144709,0.0009338982,0.98797196,0.003008678,0.00092150894,0.0028085443,0.0018040335,0.0025513188,0.0
ERR543172,0.010847372,0.013193174,0.9437744,0.012655675,0.00314471,6.757123e-05,0.016317165,0.0
ERR2592335,0.84341913,0.0038432188,0.0930581,0.0065410286,0.015423616,0.034422204,0.0032926905,0.0
ERR719213,0.0008257674,0.0006852283,0.0013516528,0.99085385,0.0013453254,0.0037082,0.0012300067,0.0
SRR2006424,0.0024313699,0.0018986132,0.0005656825,0.873748,0.010602615,0.11013093,0.0006227326,0.0
ERR924130,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
SRR2145323,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
ERR1263645,0.0033977171,0.006691549,0.00055774394,0.015003433,0.00065541005,0.9663255,0.0073686102,0.0
SRR640736,0.038034175,0.008928896,0.7154227,0.005770505,0.004953385,1.0478845e-05,0.1964821,0.030397775
SRR3647896,0.000833277,0.00070461206,0.0013381034,0.99074113,0.0013574135,0.0037676753,0.0012578326,0.0
ERR720228,0.0008281181,0.00067798863,0.0013590369,0.9908922,0.0013530068,0.0036712503,0.0012183834,0.0
ERR3661000,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR6414427,0.0008260741,0.00067060225,0.0013651758,0.9909366,0.0013511555,0.0036465188,0.0012038819,0.0
SRR7453608,0.00089189387,0.0007152192,0.0014422543,0.9904411,0.0014472717,0.0037305935,0.001331636,0.0
ERR2495665,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
ERR487814,0.0033973267,0.0068260515,0.0005496418,0.015068859,0.0006471811,0.9661811,0.007329858,0.0
SRR6444846,0.0008874167,0.00072707527,0.0013836763,0.9904559,0.0014616048,0.00376991,0.0013144198,0.0
ERR924329,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
SRR6444839,0.00094254414,0.0008442702,0.0013201322,0.98972154,0.0015426447,0.0041930987,0.0014357258,0.0
ERR1467024,0.00082425337,0.0006691693,0.0013668544,0.9909522,0.0013488835,0.0036424994,0.0011961164,0.0
SRR3214696,0.0008241065,0.00066902215,0.0013665601,0.9909533,0.0013488863,0.00364218,0.0011959703,0.0
ERR3130423,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR1311209,0.00082353636,0.0006761708,0.0013599757,0.99091995,0.0013462817,0.0036669706,0.0012071147,0.0
SRR921098,0.0008241954,0.000669022,0.0013665598,0.99095315,0.0013488859,0.0036422682,0.0011959403,0.0
ERR441884,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
SRR7453367,0.000855485,0.0006892223,0.0014107826,0.9907133,0.0013936188,0.00367803,0.001259605,0.0
ERR789805,0.000932289,0.9879796,0.0030023314,0.0009216271,0.002806427,0.0018047165,0.0025529838,0.0
ERR1201159,0.0033916316,0.006695748,0.0005569839,0.015011428,0.00065491453,0.9663243,0.007364862,0.0
SRR3094931,0.0008241955,0.00066899235,0.0013665599,0.99095315,0.001348886,0.0036422093,0.0011959999,0.0
ERR986470,0.0033909823,0.0066962386,0.0005568953,0.0150124375,0.0006549138,0.96632355,0.007365,0.0
ERR2560648,0.0034215439,0.006953628,0.0005476219,0.015044737,0.00064360327,0.9660987,0.00729012,0.0
ERR765883,0.000557228,0.003969317,0.0082415175,0.004583495,0.0005752108,0.0018480043,0.98022527,0.0
SRR5915067,0.0009323186,0.9879795,0.0030023907,0.0009215972,0.0028064563,0.0018047759,0.0025529538,0.0
ERR1263729,0.0033996499,0.0066998997,0.00055829075,0.01499704,0.0006552559,0.9663313,0.007358559,0.0
ERR2011968,0.0024116638,0.0003545998,0.0012424027,0.9790603,0.0035428281,0.002062189,0.011326012,0.0
SRR1623169,0.0008241957,0.0006690222,0.0013665305,0.990953,0.001348827,0.0036423884,0.0011960595,0.0
ERR765654,0.00058826787,0.003921994,0.008752899,0.0045024157,0.0005829778,0.0018514657,0.9797999,0.0
SRR6457367,0.00093219976,0.9879795,0.0030023914,0.0009216272,0.0028064868,0.0018047764,0.0025529843,0.0
SRR3633251,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR5180497,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR2991601,0.0008241954,0.0006689923,0.0013666489,0.99095297,0.0013489453,0.0036422089,0.0011960592,0.0
ERR1960732,0.0008241362,0.00066905183,0.0013665304,0.990953,0.0013488565,0.0036424473,0.001196,0.0
SRR1770723,0.010847428,0.013193025,0.94377434,0.012655585,0.00314468,6.757218e-05,0.016317278,0.0
SRR920915,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
ERR2511515,0.0009152553,0.0007972987,0.0013393168,0.9901515,0.0015501297,0.0039150245,0.0013314155,0.0
SRR3030600,0.0008209486,0.0007124514,0.0013284377,0.9907308,0.0013318543,0.003816239,0.0012592454,0.0
SRR5002084,0.0009323796,0.987979,0.003002842,0.0009218071,0.0028070265,0.0018044213,0.0025525705,0.0
SRR2168151,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR6038518,0.0008259742,0.0006702965,0.0013671778,0.9909433,0.0013529201,0.0036409164,0.0011994106,0.0
SRR1824438,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR6264658,0.0008269636,0.0006726208,0.0013652325,0.9909376,0.001356143,0.0036399467,0.0012014142,0.0
ERR833614,0.0009322294,0.9879796,0.0030023612,0.0009216271,0.0028064863,0.0018047165,0.0025529838,0.0
ERR309277,0.0033904507,0.006681301,0.00055523735,0.014999505,0.0006551308,0.9663165,0.0074017663,0.0
ERR2013529,0.019528667,0.07158064,0.026837468,0.049498875,0.7855428,0.00042258148,0.046589073,0.0
ERR308534,0.0033985877,0.006688771,0.00055777654,0.01499906,0.0006553845,0.966329,0.0073715276,0.0
ERR1896971,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR7275940,0.0009322294,0.9879796,0.0030023314,0.0009216271,0.002806427,0.0018047761,0.0025529838,0.0
ERR2599269,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
SRR3095124,0.0008242853,0.00066911173,0.0013665017,0.9909523,0.0013491248,0.0036421232,0.0011965949,0.0
ERR1689030,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
ERR522500,0.0008280461,0.0006749782,0.001362254,0.9909155,0.0013555705,0.0036535796,0.001210107,0.0
ERR1512007,0.0033966927,0.006662838,0.0005545178,0.014978493,0.0006558459,0.96631235,0.0074393447,0.0
ERR442013,0.0008242252,0.00066899235,0.001366649,0.9909528,0.0013489455,0.003642239,0.001196178,0.0
ERR1760001,0.00082428474,0.00066902215,0.0013665304,0.9909529,0.0013488863,0.0036422692,0.0011961188,0.0
SRR1923804,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
ERR1712605,0.001021706,0.00084591174,0.0016390169,0.9893776,0.0015772858,0.003915507,0.001622917,0.0
SRR5467794,0.00082372443,0.000670481,0.0013653194,0.99094677,0.0013475266,0.00364805,0.001198115,0.0
SRR1334521,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
SRR6309234,0.0033863555,0.0067039425,0.0005556058,0.015020456,0.00065427,0.96631265,0.0073667206,0.0
ERR1382852,0.00082406565,0.0007109341,0.0013296221,0.9907146,0.0013343458,0.003819169,0.0012672631,0.0
SRR8611163,0.00071423786,0.0030975044,0.008809567,0.0035732673,0.00062055764,0.0028083897,0.9803764,0.0
ERR499726,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
SRR5916489,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR418229,0.68630373,0.0394331,0.036865223,0.0010370907,0.0026713128,0.2167182,0.016971355,0.0
SRR5180717,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR537714,0.003486047,0.0066536497,0.0005750955,0.014903277,0.00065957,0.9664191,0.007303214,0.0
ERR986799,0.010847254,0.013193172,0.9437744,0.0126556745,0.0031446805,6.757097e-05,0.01631725,0.0
ERR765885,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
SRR2074928,0.0009322295,0.9879797,0.0030023616,0.0009216272,0.0028064272,0.0018047168,0.0025529843,0.0
ERR923687,0.00055737305,0.0039713127,0.008243902,0.00457767,0.0005748207,0.0018492705,0.9802257,0.0
ERR1905871,0.00055737305,0.0039713425,0.008243902,0.00457767,0.0005748207,0.001849211,0.9802257,0.0
SRR505212,0.0009404749,0.000787634,0.001386496,0.9899619,0.0015423361,0.0039687264,0.0014123605,0.0
ERR2182505,0.00082419533,0.0006690219,0.001366619,0.99095315,0.0013488857,0.0036422678,0.0011959105,0.0
SRR1704319,0.0008180863,0.00068577856,0.0013539122,0.9909084,0.0013386733,0.003687508,0.0012077022,0.0
ERR498538,0.00083055336,0.00067947345,0.0013591251,0.99088174,0.0013583824,0.0036694356,0.0012212639,0.0
ERR1384584,0.00084343774,0.00072100706,0.0013301895,0.9906223,0.0013714256,0.0038247926,0.0012867848,0.0
SRR1231523,0.0009322294,0.9879796,0.0030023314,0.0009216271,0.002806427,0.0018047761,0.0025529838,0.0
